species,v_um3,dcw_ng,Reference,Reference title,Location in the reference,Comment
Arthrobacter globiformis,0.5025,0.000253,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
Bacillus megatherium,4.4188,0.002082,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
Bacillus subtilis,0.9,0.00022,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
Bdellovibrio bacteriovorus,0.098,0.000054,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
Clostridium cellulolyticum,0.159,0.000089,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
Clostridium tetani,1.1454,0.00057,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
Cupriavidus necator,2.508,0.002744,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
Enterobacter aerogenes,1.2,0.00122,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
Escherichia coli,0.834,0.00028,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
Mycoplasma genitalium,0.0042,0.000004,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
Mycoplasma pneumoniae,0.045,0.000016,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
Paracoccus denitrificans,0.403,0.0002,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
Pseudomonas putida,0.6725,0.00032,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
Salmonella typhimurium,0.755,0.000632,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
Streptococcus pyogenes,1.3707,0.00025,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
Streptomyces coelicolor,1.31,0.000379,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
Vibrio harveyi,0.323,0.00045,Lynch2021,The origins of cellular features,Figure 7.1 -- The cellular environment (Supp Table 7.1),
