species,IM,OM,OM+LPS,Periplasm,PG,LPS,Slime layer,S-layer,Mycolic acid layer,Granular layer,Polysaccharide layer,Poly-gamma-D-glutamic acid,Total,Reference,Method,Place in text,Comment1,Comment2
Treponema pallidum,4,4,,23,,,,,,,,,31,Liu et al. 2010,cryo-TEM,"p. 549, p. 550",,
Treponema primitia,,,,,,,,,,,,,28,Murphy et al. 2008,cryo-TEM,p. 1190; Figure 8E,This is peak-to-peak from OM to IM.,
Treponema denticola,4,,10,18.5,,,,,,,,,32.5,Izard et al. 2008,cryo-TEM,p. 13,IM assumed to be 4 nm thick.,
Borrelia burgdorferi,,,,,,,,,,,,,33,Kudryashev et al. 2009,cryo-TEM,p. 1419; Figure 3A,"This is peak-to-peak, from IM to SL.",
Leptospira interrogans,4,5.3,,18.211,,9.2,,,,,,,36.711,Raddi et al. 2011,cryo-TEM,p. 1300; Figure 1EF,,
Leptospira biflexa,4,5.8,,19.895,,6,,,,,,,35.695,Raddi et al. 2011,cryo-TEM,p. 1300; Figure 1EF,,
Mycobacterium smegmatis,7.1,,,16.6,7.3,,,,7.1,3.6,,,42.4,Zuber et al. 2008,cryo-TEM,p. 5675; Table 1,Total thickness from Table 1 also includes space between IM and GL so the reported sum is larger than the sum of the reported components,
Mycobacterium bovis,6.3,,,14.1,6.3,,,,7.5,3.8,,,38.7,Zuber et al. 2008,cryo-TEM,p. 5675; Table 1,Total thickness from Table 1 also includes space between IM and GL so the reported sum is larger than the sum of the reported components,
Corynebacterium glutamicum,6.7,,,18,20.9,,,,4.7,4.3,,,48.6,Zuber et al. 2008,cryo-TEM,p. 5675; Table 1,Total thickness from Table 1 also includes space between IM and GL so the reported sum is larger than the sum of the reported components,
Escherichia coli,5.8,,6.9,11.5,6.4,,,,,0,,,33.7,Zuber et al. 2008,cryo-TEM,p. 5675; Table 1,Total thickness from Table 1 also includes space between IM and GL so the reported sum is larger than the sum of the reported components,
Streptococcus gordonii,6.3,,,12.9,26.4,,,,0,4.1,,,45.5,Zuber et al. 2008,cryo-TEM,p. 5675; Table 1,Total thickness from Table 1 also includes space between IM and GL so the reported sum is larger than the sum of the reported components,
Pseudomonas aeruginosa,5.95,,7.48,21.48,2.41,,,,,,,,37.32,Matias et al. 2003,cryo-TEM,p. 6116; Table 1,Thickness of PG subtracted from periplasm thickness,
Escherichia coli,5.84,,6.87,14.64,6.35,,,,,,,,33.7,Matias et al. 2003,cryo-TEM,p. 6116; Table 1,Thickness of PG subtracted from periplasm thickness,
Bacillus subtilis,6.6,,,22.3,33.3,,,,,,,,62.2,Matias and Beveridge 2005,cryo-TEM,p. 244; Table 1,"Note that PG is actually a cell wall that accounts for roughly 50% of dry weight of cell fragments isolated in hot SDS. However, since they have roughly similar material as murein, it shouldn't affect costs by much.",
Deinococcus radiodurans,,,,,,,,,,,,,72.45,Eltsov and Dubochet 2005,cryo-TEM,p. 8048; Figure 1D,,
Staphylococcus aureus,5.4,,,15.8,19,,,,,,,,40.2,Matias and Beveridge 2006,cryo-TEM,p. 1014; Table 1,,
Enterococcus gallinarum,7.4,,,18.4,18.7,,,,,3.4,,,47.9,Zuber et al. 2006,cryo-TEM,p. 6655; Table 1,"Membrane inferred from Figure 2H. Other features also appear to be off compared to Table 1, but not by much.",
Campylobacter jejuni,,,,,,,,,,,,,42.63,Muller et al. 2014,cryo-TEM,p. 706; Figure 2A,,
Rickettsia prowazekii,5.5,7.7,,2.8,2.5,16,77.5,,,,,,34.5,Silverman and Wisseman 1978,conventional,p. 1022; Table 1,"LPS assumed to correspond to microcapsular layer; PG assumed to be constant across the species, and the rest of the thickness in inner leaflet was transfered to OM",Data for thickness of slime layer obtained from Silverman et al. 1978 (p. 234)
Rickettsia rickettsii,5.7,6.2,,4.4,2.5,16,,,,,,,34.8,Silverman and Wisseman 1978,conventional,p. 1022; Table 1,"LPS assumed to correspond to microcapsular layer; PG assumed to be constant across the species, and the rest of the thickness in inner leaflet was transfered to OM",Slime layer thickness omitted because it wasn't precisely measured
Rickettsia typhi,5,4.5,,3,2.5,,,,,,,,15,Silverman and Wisseman 1978,conventional,p. 1022; Table 1,"LPS assumed to correspond to microcapsular layer; PG assumed to be constant across the species, and the rest of the thickness in inner leaflet was transfered to OM",Slime layer thickness omitted because it wasn't precisely measured
Orientia tsutsugamushi,5.7,8.5,,2,2.5,14,,,,,,,32.7,Silverman and Wisseman 1978,conventional,p. 1022; Table 1,LPS assumed to correspond to microcapsular layer,Slime layer thickness omitted because it wasn't precisely measured
Corynebacterium glutamicum,6.5,,,0,17.5,,,,7.5,0,37.5,,69,Puech et al. 2001,conventional,p. 1369,The outer-most layer can be only visualized by ruthenium red stain.,
Listeria innocua,8,,,,29,,,,,,,,37,Calderon-Miranda et al. 1999,conventional,p. 36; Table 1,Cell membrane thickness estimated from Figure 1.,
