LIN,OPTICAL DENSITY,GEN,LOG10RESP,LOG10VOLUME
ARA+1,15,10K,-9.504635272,-0.437332997
ARA+1,15,60K,-9.335174979,-0.231297683
ARA+2,15,10K,-9.332097602,-0.276791706
ARA+2,15,60K,-9.422465651,-0.27176264
ARA+3,15,10K,-9.437982769,-0.291069142
ARA+3,15,60K,-9.515303694,0.042356788
ARA+4,15,10K,-9.330236518,-0.12177435
ARA+4,15,60K,-9.316730623,-0.091162356
ARA+5,15,10K,-9.514148745,-0.357951381
ARA+5,15,60K,-9.51909731,-0.175212573
ARA+6,15,10K,-9.533337359,-0.212360073
ARA+6,15,60K,-9.355750189,-0.066867924
ARA-1,15,10K,-9.619916974,-0.392037783
ARA-1,15,60K,-9.424910479,-0.218641428
ARA-2,15,10K,-9.307138787,-0.285974208
ARA-2,15,60K,-9.384757658,-0.112980696
ARA-3,15,10K,-9.560667306,-0.368670043
ARA-4,15,10K,-9.467988261,-0.307069802
ARA-4,15,60K,-9.367389377,-0.294075536
ARA-5,15,10K,-9.621150188,-0.382449886
ARA-5,15,60K,-9.427137713,-0.367929626
ARA-6,15,10K,-9.461321499,-0.323740954
ARA-6,15,60K,-9.407172271,-0.208986996
REL606,15,0,-9.617982957,-0.638305625
REL607,15,0,-9.653647026,-0.602139395
ARA+1,30,10K,-9.668031811,-0.437332997
ARA+1,30,60K,-9.579248312,-0.231297683
ARA+2,30,10K,-9.50204207,-0.276791706
ARA+2,30,60K,-9.580443319,-0.27176264
ARA+3,30,10K,-9.625905987,-0.291069142
ARA+3,30,60K,-9.673838143,0.042356788
ARA+4,30,10K,-9.524554818,-0.12177435
ARA+4,30,60K,-9.512882361,-0.091162356
ARA+5,30,10K,-9.676455286,-0.357951381
ARA+5,30,60K,-9.581540598,-0.175212573
ARA+6,30,10K,-9.615962277,-0.212360073
ARA+6,30,60K,-9.449521949,-0.066867924
ARA-1,30,10K,-9.704601367,-0.392037783
ARA-1,30,60K,-9.590540818,-0.218641428
ARA-2,30,10K,-9.473464622,-0.285974208
ARA-2,30,60K,-9.4644716,-0.112980696
ARA-3,30,10K,-9.732828272,-0.368670043
ARA-4,30,10K,-9.580584896,-0.307069802
ARA-4,30,60K,-9.58337862,-0.294075536
ARA-5,30,10K,-9.677288865,-0.382449886
ARA-5,30,60K,-9.516483559,-0.367929626
ARA-6,30,10K,-9.641764603,-0.323740954
ARA-6,30,60K,-9.566254471,-0.208986996
REL606,30,0,-9.806875402,-0.638305625
REL607,30,0,-9.671620397,-0.602139395
ARA+1,60,10K,-9.770847304,-0.437332997
ARA+1,60,60K,-9.806848635,-0.231297683
ARA+2,60,10K,-9.670018144,-0.276791706
ARA+2,60,60K,-9.680975126,-0.27176264
ARA+3,60,10K,-9.860851896,-0.291069142
ARA+3,60,60K,-9.74387132,0.042356788
ARA+4,60,10K,-9.692841467,-0.12177435
ARA+4,60,60K,-9.703401287,-0.091162356
ARA+5,60,10K,-9.844833933,-0.357951381
ARA+5,60,60K,-9.748854736,-0.175212573
ARA+6,60,10K,-9.705136872,-0.212360073
ARA+6,60,60K,-9.604927818,-0.066867924
ARA-1,60,10K,-9.791929485,-0.392037783
ARA-1,60,60K,-9.729710142,-0.218641428
ARA-2,60,10K,-9.795880017,-0.285974208
ARA-2,60,60K,-9.574260751,-0.112980696
ARA-3,60,10K,-9.798602876,-0.368670043
ARA-4,60,10K,-9.762564209,-0.307069802
ARA-4,60,60K,-9.670060907,-0.294075536
ARA-5,60,10K,-9.738654021,-0.382449886
ARA-5,60,60K,-9.676205835,-0.367929626
ARA-6,60,10K,-9.795329366,-0.323740954
ARA-6,60,60K,-9.679858686,-0.208986996
REL606,60,0,-9.924453039,-0.638305625
REL607,60,0,-9.899629455,-0.602139395
