population,fitnessMP,fitnessClones,"mean.length","mean.width",generation,ID
606_0K,0.982222891,0.9824488,2.0647468258,0.6201738389,0,Escherichia coli (Grant2021)
607_0K,0.982222891,0.9824488,2.0833083838,0.625614288,0,Escherichia coli (Grant2021)
M1_2K,1.262659378,1.2122076,4.0891885728,2.5581624567,2,Escherichia coli (Grant2021)
M2_2K,1.228010409,1.1784917,3.0231880838,2.0504776272,2,Escherichia coli (Grant2021)
M3_2K,1.235567725,1.2747298,3.9889991366,2.5906932281,2,Escherichia coli (Grant2021)
M4_2K,1.252426506,1.2936059,2.6123930532,1.7866942358,2,Escherichia coli (Grant2021)
M5_2K,1.225086578,1.2037955,2.8892158913,2.0690665379,2,Escherichia coli (Grant2021)
M6_2K,1.237207417,1.2049194,2.2094120239,1.6715788325,2,Escherichia coli (Grant2021)
P1_2K,1.240105089,1.3187243,2.673554437,1.9168189588,2,Escherichia coli (Grant2021)
P2_2K,1.383870685,1.3656308,3.1174501808,2.1275758717,2,Escherichia coli (Grant2021)
P3_2K,1.292417307,1.2633643,1.8986568791,1.565480852,2,Escherichia coli (Grant2021)
P4_2K,1.132774185,1.1252382,2.8850470025,1.9372188322,2,Escherichia coli (Grant2021)
P5_2K,1.313073566,1.2852042,3.184800949,2.1776438542,2,Escherichia coli (Grant2021)
P6_2K,1.219446758,,2.2517302908,1.7279284413,2,Escherichia coli (Grant2021)
M1_10K,1.335199016,1.3886295,3.2813446309,2.1169924464,10,Escherichia coli (Grant2021)
M2_10K,1.496917997,1.6197063,3.0185717208,2.0980217092,10,Escherichia coli (Grant2021)
M3_10K,1.564819115,1.2865938,2.2130866663,1.9635962232,10,Escherichia coli (Grant2021)
M4_10K,1.649120639,1.4255498,2.7055433476,1.9049593923,10,Escherichia coli (Grant2021)
M5_10K,1.310476847,1.3345284,3.1156499735,2.2598414048,10,Escherichia coli (Grant2021)
M6_10K,1.414345728,1.2952326,2.3888107422,1.796984037,10,Escherichia coli (Grant2021)
P1_10K,1.283385096,1.3016959,3.5208737881,2.7309084962,10,Escherichia coli (Grant2021)
P2_10K,1.485883504,1.3789154,3.3940300736,2.3991594756,10,Escherichia coli (Grant2021)
P3_10K,1.524579613,1.3881288,2.3500755993,1.9800032229,10,Escherichia coli (Grant2021)
P4_10K,1.543829523,1.4385507,2.5892755406,1.9274294074,10,Escherichia coli (Grant2021)
P5_10K,1.516078691,1.365234,3.1292577882,2.2907723135,10,Escherichia coli (Grant2021)
P6_10K,,,2.7769203087,2.0019171584,10,Escherichia coli (Grant2021)
M1_50K,1.594220371,1.412345,2.3057037267,1.7551984598,50,Escherichia coli (Grant2021)
M2_50K,,,3.2117240914,2.3845407493,50,Escherichia coli (Grant2021)
M3_50K,,,3.0998122601,2.6088527001,50,Escherichia coli (Grant2021)
M4_50K,1.808399628,1.576087,4.54070138,3.1713771999,50,Escherichia coli (Grant2021)
M5_50K,1.655876778,1.6440337,4.0313632848,3.3036759782,50,Escherichia coli (Grant2021)
M6_50K,1.473198061,1.4057902,7.5743879967,6.4999539282,50,Escherichia coli (Grant2021)
P1_50K,1.406023364,1.3033033,3.5964694004,2.9560356402,50,Escherichia coli (Grant2021)
P2_50K,2.105789492,1.6985865,3.3952023087,2.5841553192,50,Escherichia coli (Grant2021)
P3_50K,1.803960259,1.7160754,3.3648196147,2.8487230287,50,Escherichia coli (Grant2021)
P4_50K,1.675603199,1.4255527,2.9265098519,2.1305420297,50,Escherichia coli (Grant2021)
P5_50K,1.65764556,1.3835677,3.4811257951,2.9810574239,50,Escherichia coli (Grant2021)
P6_50K,,,3.2820989758,2.2534613314,50,Escherichia coli (Grant2021)
