population,fitnessMP,fitnessClones,generation,mean.length,mean.width,ID
606_0K,0.982222891,0.9824488,0,2.064746826,0.6201738389,Escherichia coli
607_0K,0.982222891,0.9824488,0,2.083308384,0.625614288,Escherichia coli
M1_2K,1.262659378,1.2122076,2,2.050477627,0.6838142031,Escherichia coli
M2_2K,1.228010409,1.1784917,2,1.786694236,0.6902848613,Escherichia coli
M3_2K,1.235567725,1.2747298,2,1.671578832,0.7639089327,Escherichia coli
M4_2K,1.252426506,1.2936059,2,2.127575872,0.6900453628,Escherichia coli
M5_2K,1.225086578,1.2037955,2,1.937218832,0.6839017504,Escherichia coli
M6_2K,1.237207417,1.2049194,2,1.727928441,0.7793280695,Escherichia coli
P1_2K,1.240105089,1.3187243,2,2.558162457,0.6309227501,Escherichia coli
P2_2K,1.383870685,1.3656308,2,2.590693228,0.6544272966,Escherichia coli
P3_2K,1.292417307,1.2633643,2,2.069066538,0.7197401647,Escherichia coli
P4_2K,1.132774185,1.1252382,2,1.916818959,0.7220150763,Escherichia coli
P5_2K,1.313073566,1.2852042,2,1.565480852,0.8351859861,Escherichia coli
P6_2K,1.219446758,,2,2.177643854,0.6883372561,Escherichia coli
M1_10K,1.335199016,1.3886295,10,2.098021709,0.7012494141,Escherichia coli
M2_10K,1.496917997,1.6197063,10,1.904959392,0.7080946161,Escherichia coli
M3_10K,1.564819115,1.2865938,10,1.796984037,0.7676600789,Escherichia coli
M4_10K,1.649120639,1.4255498,10,2.399159476,0.7171908881,Escherichia coli
M5_10K,1.310476847,1.3345284,10,1.927429407,0.7473811719,Escherichia coli
M6_10K,1.414345728,1.2952326,10,2.001917158,0.7271457212,Escherichia coli
P1_10K,1.283385096,1.3016959,10,2.116992446,0.6559573094,Escherichia coli
P2_10K,1.485883504,1.3789154,10,1.963596223,0.8950582848,Escherichia coli
P3_10K,1.524579613,1.3881288,10,2.259841405,0.7279627691,Escherichia coli
P4_10K,1.543829523,1.4385507,10,2.730908496,0.7855790364,Escherichia coli
P5_10K,1.516078691,1.365234,10,1.980003223,0.8476894367,Escherichia coli
P6_10K,,,10,2.290772313,0.7338314116,Escherichia coli
M1_50K,1.594220371,1.412345,50,2.384540749,0.7480610397,Escherichia coli
M2_50K,,,50,3.1713772,0.7037398879,Escherichia coli
M3_50K,,,50,6.499953928,0.8381387663,Escherichia coli
M4_50K,1.808399628,1.576087,50,2.584155319,0.7654718926,Escherichia coli
M5_50K,1.655876778,1.6440337,50,2.13054203,0.7330911622,Escherichia coli
M6_50K,1.473198061,1.4057902,50,2.253461331,0.7144731906,Escherichia coli
P1_50K,1.406023364,1.3033033,50,1.75519846,0.7641885536,Escherichia coli
P2_50K,2.105789492,1.6985865,50,2.6088527,0.8428665695,Escherichia coli
P3_50K,1.803960259,1.7160754,50,3.303675978,0.821220857,Escherichia coli
P4_50K,1.675603199,1.4255527,50,2.95603564,0.8247784195,Escherichia coli
P5_50K,1.65764556,1.3835677,50,2.848723029,0.8505013927,Escherichia coli
P6_50K,,,50,2.981057424,0.8567876077,Escherichia coli
