"species","shape","V.mean","S.mean","growth_rate","total_thickness_nm","rRNA genes","tRNA genes","tca_steps"
"Acetobacter malorum","rod",0.476592171920186,3.39292006587698,1.614311239,NA,3,54,12
"Acetonema longum","rod",2.1693673784754,36.2853951489621,0.1611028384,NA,3,63,0
"Acholeplasma laidlawii","sphere",0.108083914428392,1.33141010818401,3.688205259,NA,5,33,0
"Acholeplasma morum",NA,NA,NA,10.3052794,NA,6,39,0
"Achromobacter xylosoxidans","rod",1.64935394549301,8.63937979737193,2.218070978,NA,7,54,12
"Acinetobacter baumannii","rod",0.62683151019526,4.11195208446734,2.661110123,43.53,18,72,12
"Acinetobacter calcoaceticus","rod",0.58208293850876,3.87299469325367,9.314210775,NA,18,73,12
"Actinomyces naeslundii",NA,NA,NA,1.617570453,NA,9,51,10
"Aeromonas hydrophila","rod",0.52414698351635,4.05925186770337,28.8,NA,31,115,12
"Aeromonas salmonicida","rod",1.10682707415683,7.65763209312512,28.8,NA,31,127,12
"Agrobacterium sanguineum","rod",0.40827300368012,3.57356164345839,24.28629243,NA,3,44,NA
"Agrobacterium tumefaciens","rod",0.835796639943887,5.65486677646163,5.3041655,NA,12,53,12
"Akkermansia muciniphila","rod",0.200394341390859,1.95116465732828,2.33586333,NA,9,54,12
"Alcaligenes aestus","rod",0.518668569527265,4.04283704608836,4.794504381,NA,4,49,NA
"Alkalibacterium iburiense","rod",0.403078903826185,3.76991118430775,1.524576851,NA,NA,NA,NA
"Alkalibacterium olivoapovliticus SN4a","rod",0.322921167269841,3.11017672705389,1.708508543,NA,8,69,NA
"Alkalibacterium olivoapovliticus SN4c","rod",0.287887173194559,3.29867228626928,2.412012061,NA,8,69,NA
"Alkalibacterium psychrotolerans","rod",0.449282568781918,3.87986692718339,18.97366596,NA,NA,NA,NA
"Alteromonas denitrificans","rod",0.632101008272881,5.65486677646163,2.842991265,NA,11,68,NA
"Alteromonas infernus","rod",0.458957365158035,3.73849525777185,20.16,NA,NA,NA,NA
"Alteromonas macleodii","rod",0.458957365158035,3.73849525777185,39.84469852,NA,3,62,12
"Arcobacter butzleri","rod",0.084144417633749,1.88495559215388,5.472,NA,15,54,8
"Arthrobacter globiformis","rod",0.314192775680617,2.74889357189107,5.616205124,NA,3,49,12
"Arthrobacter histidinolovorans",NA,NA,NA,7.968939704,NA,6,54,NA
"Asticcacaulis biprosthecum","rod",0.120628780317438,1.5707963267949,3.507078151,21,3,44,NA
"Azospirillum brasilense",NA,NA,NA,4.889016273,NA,30,80,12
"Azotobacter agilis",NA,NA,NA,3.177752117,NA,NA,NA,NA
"Azotobacter chroococcum","rod",10.6890341697884,27.5674755352504,3.936,NA,18,64,12
"Bacillus anthracis","rod",1.20030909055522,8.24668071567321,5.606071993,70.67,33,95,12
"Bacillus brevis","rod",0.900723542616546,6.54825718732623,6.065889198,NA,41,125,9
"Bacillus cereus","rod",2.51682621696549,12.5663706143592,24,NA,42,106,12
"Bacillus circulans","rod",0.746612060496229,6.59734457253857,9.9768,NA,33,84,12
"Bacillus coagulans","rod",1.48092269135855,9.42477796076938,2.8512,NA,30,84,12
"Bacillus firmus","rod",0.863773831521043,6.1261056745001,9.284948279,NA,36,106,NA
"Bacillus laterosporus","rod",0.886717929867761,7.14712328691678,1.9968,NA,33,110,12
"Bacillus licheniformis","rod",0.635891863408212,4.94800842940392,8.59334303,21.62333333,24,83,12
"Bacillus macerans","rod",0.803867586607903,7.06858347057703,2.079441542,NA,24,82,NA
"Bacillus megaterium","rod",3.63648313009558,13.4303085940964,11.82863873,28.6,6,65,12
"Bacillus mycoides","rod",1.56345756635611,7.06858347057703,8.798244838,NA,42,106,12
"Bacillus polymyxa","rod",1.80348571706588,11.3097335529233,6.336,30.6,42,111,12
"Bacillus subtilis","rod",0.640660539256974,5.30929158456675,13.4439487,62.2,30,86,12
"Bacillus thuringiensis","rod",1.54338278929967,8.83572933822129,12.10733429,NA,4,91,12
"Bacteroides thetaiotamicron","rod",0.990075019173926,5.65486677646163,1.946552775,NA,15,70,NA
"Bdellovibrio bacteriovorus","rod",0.0361971687552738,1.09955742875643,2.502710711,22.66666667,6,36,12
"Bifidobacterium longum",NA,NA,NA,2.325257526,NA,12,62,7
"Borrelia anserina","helical",2.36611680769704,70.1976425409284,0.4379743745,NA,3,32,0
"Borrelia burgdorferi","helical",1.27893245258068,23.3131334921345,0.384361115,33,5,30,0
"Borrelia garinii","helical",0.622063116124625,19.0454833387965,0.384361115,NA,5,32,0
"Borrelia hermsii",NA,NA,NA,0.452526213,NA,3,32,0
"Borrelia recurrentis","helical",1.05243225015402,21.5262860094443,0.3398241548,NA,3,32,0
"Borrelia sp.",NA,NA,NA,0.6870186266,NA,NA,NA,0
"Brachyspira suanatina","helical",0.251824574060264,5.37829218437293,1.751897498,NA,3,34,0
"Brevinema andersonii","helical",0.494132560235381,13.7847483284824,0.4431989056,NA,3,35,0
"Brochothrix thermosphacta","rod",0.339923728510457,3.06305283725005,19.2,NA,28,84,6
"Brucella abortus","rod",0.135834088760813,1.72787595947439,1.401517998,28,9,55,12
"Burkholderia cepacia","rod",0.685267227947132,4.77522083345649,1.010981533,NA,18,70,12
"Burkholderia pseudomallei","rod",0.366368346471437,3.29741564920785,5.462871911,NA,12,60,12
"Burkholderia thailandensis","rod",0.427062607541853,3.55502624680221,5.282103009,NA,12,60,12
"Campylobacter jejuni","rod",0.123223981580754,2.25767414457577,1.877033033,42.63,9,43,9
"Caulobacter crescentus","rod",0.129572600077897,1.89595116644144,2.661685173,45.46,6,51,12
"Chimaereicella alkaliphila","rod",0.379119023854807,4.24115008234622,1.344,NA,8,40,12
"Chlamydia trachomatis","sphere",0.588977413114605,3.80132711084365,1.592634089,30,6,37,7
"Chrysobacterium greenlandense","rod",0.0848159330634539,1.27234502470387,3.327106467,NA,NA,NA,NA
"Colwellia demingiae","rod",0.42473494918493,4.71238898038469,42.31127509,NA,16,75,NA
"Corynebacterium glutamicum","rod",0.821846659565009,5.34070751110265,6,58.8,3,59,12
"Cupriavidus necator","rod",0.341200000525978,2.76460153515902,14.4,NA,15,67,12
"Dechloromonas denitrificans","rod",0.227065939421061,2.67035375555132,1.023725067,NA,9,59,NA
"Deinococcus radiodurans","sphere",1.12400373199034,5.7255526111674,3.323991792,72.45,9,50,12
"Deleya pacifica","rod",1.17786895603001,6.71515429704818,6.392672508,NA,3,52,NA
"Delftia acidovorans","rod",0.70080763960689,6.22035345410779,2.688,NA,5,66,12
"Desulfovibrio vulgaris","rod",1.3351933271548,7.89702145332866,2.038276093,NA,16,67,8
"Elusimicrobium minutum","rod",0.0308276960364367,1.03358398303104,0.6049284485,22.66666667,3,44,2
"Endomicrobium proavitum","rod",0.0403059465221641,1.41371669411541,0.1023725067,20.66666667,3,46,4
"Enterobacter aerogenes",NA,NA,NA,18.1050312,NA,25,87,12
"Enterobacter cloacae","rod",0.312869019801135,2.82036480476024,10.37426569,NA,25,83,12
"Enterococcus faecalis","sphere",0.253283904562053,2.24317569447945,10.89423429,15.33,12,51,1
"Erwinia amylovora","rod",0.429713064543931,3.20442450666159,10.11717393,NA,22,77,12
"Escherichia coli","rod",1.17427661852231,6.71340198647918,9.439950595,33.7,22,86,12
"Ferrobacillus ferrooxidans","rod",0.615136407943496,4.09977841293468,1.231108071,NA,6,47,8
"Fimbriimonas ginsengisoli","rod",0.803867586607903,7.06858347057703,0.495105129,NA,4,49,7
"Flavobacterium antarcticum","rod",0.0490986425860159,0.989601685880785,3.041500006,NA,5,39,NA
"Flavobacterium denitrificans","rod",0.380176693381515,3.58141562509236,1.441264994,NA,9,50,NA
