"species","shape","V.mean","S.mean","lip_frac","ribo_frac","total_thickness_nm","source"
"Acidithiobacillus ferroxidans",NA,NA,NA,0.0151969895024161,0.0338029004418632,NA,"Wang2012"
"Bacillus anthracis","rod",1.20030909055522,8.24668071567321,0.0023243332263325,0.308991608545317,70.67,"Wang2012"
"Bacillus subtilis","rod",0.640660539256974,5.30929158456675,0.0119494467009974,0.0823245007802354,62.2,"Wang2012, Muller2020, Lynch2017"
"Bacteroides thetaiotamicron","rod",0.990075019173926,5.65486677646163,0.015007558640807,0.125530525190697,NA,"Wang2012"
"Bartonella henselae","rod",0.240746266430505,2.59181393921158,0.0197836429668686,0.170609116298224,NA,"Wang2012"
"Borrelia burgdorferi","helical",1.27893245258068,23.3131334921345,0.0133260874557175,0.0371682160071366,33,"Angel2010"
"Campylobacter jejuni","rod",0.123223981580754,2.25767414457577,0.0107584555043792,0.0902338340935225,42.63,"Wang2012, Zhao2017"
"Clostridium saccharolyticum","rod",0.632101008272881,5.65486677646163,0.0056093197420845,0.126371282250597,NA,"Muller2020"
"Deinococcus deserti",NA,NA,NA,0.0219048319052285,0.0563499251189649,NA,"Wang2012"
"Dictyoglomus thermophilum","rod",1.86923925130552,19.6349540849362,0.0142291953056532,0.0361976672356578,NA,"Muller2020"
"Escherichia coli","rod",1.17427661852231,6.71340198647918,0.0227891199187043,0.159162104465198,33.7,"Wang2012, Zhao2017"
"Granulicella tundricola","rod",0.1434367429825,1.80641577581413,0.0123513293089778,0.0985965861816368,NA,"Muller2020"
"Helicobacter pylori","rod",1.2937911069536,8.83572933822129,0.0160362010776975,0.0965054656538657,33.07,"Wang2012"
"Lactococcus lactis","sphere",0.269761582304466,2.33253655236203,0.0368714236573911,0.131956901522612,NA,"Wang2012"
"Legionella pneumophila","rod",0.433452623361716,4.17733648157018,0.0210959805569316,0.0870397509473102,32,"Wang2012, Lynch2017"
"Leptospira interrogans","helical",0.0626066690965667,6.67800696739647,0.0245555401661837,0.0641627309248872,36.711,"Wang2012, Lynch2017"
"Listeria monocytogenes","rod",0.196655322534311,2.35619449019234,0.0050131918250182,0.26979253421899,NA,"Wang2012"
"Mesoplasma florum","sphere",0.0852268722320993,0.964205050869165,0.001497,0.234984,NA,"Matteau2020"
"Mycobacterium smegmatis","rod",0.702242300252029,6.45031803635056,NA,0.0554048304096684,42.4,"Yamada2018"
"Mycobacterium tuberculosis","rod",0.188670609679192,3.01500392294264,0.018155034916365,0.0376155012638971,39.63,"Wang2012, Yamada2018"
"Mycoplasma pneumoniae","sphere",0.0358235438533714,0.546288404940076,NA,0.0169350532476707,NA,"Lynch2017"
"Myojin amorphous bacteria","sphere",0.107536192933603,1.32732289614169,NA,0.0145174851897771,NA,"Yamada2018"
"Myojin parakaryote","helical",0.0754220795789822,3.63107781068686,NA,0.00788914139180793,NA,"Yamada2018"
"Neisseria meningitidis","sphere",0.13725827743044,1.539380400259,0.0180616282965067,0.0277489979010634,NA,"Wang2012"
"Odoribacter splanchnicus","rod",0.475042319544415,3.8484510006475,0.0163136277489717,0.0936560095924945,NA,"Muller2020"
"Pelagibacter ubique","rod",0.0175986457217109,0.627533132554561,NA,0.0435800735415225,27.63333333,"Zhao2017"
"Persephonella marina","rod",0.187807812223639,3.29867228626928,0.00704486775927048,0.0243840566176914,NA,"Muller2020"
"Polynucleobacter asymbioticus","rod",0.0907888860960914,1.34303085940964,0.010198255224315,0.0432938944137327,NA,"Srivastava2020"
"Pseudomonas aeruginosa","rod",0.249561294224543,2.61101256098352,0.037840383090631,0.0701751379249618,37.32,"Wang2012"
"Pseudothermotoga hypogea",NA,NA,NA,0.00779177070077811,0.0547935456882515,NA,"Muller2020"
"Rickettsia prowazekii","rod",0.038905483422056,0.942477796076938,NA,0.0718131498022686,34.5,"Zhao2017"
"Salmonella typhimurium","rod",0.576471256359439,4.44472528629884,0.0214714078406561,0.103495204714964,NA,"Wang2012"
"Shewanell oneidensis","rod",0.745218502354974,6.47733573317144,0.0128826380113008,0.15080814501122,NA,"Wang2012"
"Shigella flexneri",NA,NA,NA,0.0334113601476018,0.0828442894121173,NA,"Wang2012"
"Sphingomonas sp. RB2256","rod",0.0343815900008867,0.848230016469244,NA,0.165980495532172,NA,"Zhao2017"
"Sphingopyxis alaskensis","rod",0.0435732356068209,1.00408442801383,NA,0.0607607171144558,NA,"Lynch2017"
"Spiroplasma melliferum","helical",0.253060404440711,5.91366286552715,NA,0.0326834128520628,NA,"Zhao2017"
"Spiroplasma poulsonii","helical",0.0264236596388433,1.77304106217152,NA,0.010962811874281,NA,"Masson2021"
"Staphylococcus aureus","sphere",0.286588350826971,2.42180351116991,0.0251395199882244,0.47196565192182,40.2,"Wang2012, Lynch2017"
"Streptococcus pyogenes","sphere",0.212720029733398,2.01380403898083,0.00585953598224749,0.268560131985408,NA,"Wang2012"
"Synechocystis nigrescens",NA,NA,NA,0.00302900146020855,0.0147949154689483,NA,"Muller2020"
"Thermodesulfobacterium commune",NA,NA,NA,0.00385797165074193,0.0458329159510311,NA,"Muller2020"
"Thermotoga maritima","rod",1.37642284772464,11.7809724509617,0.00289222938691984,0.0197780708104013,NA,"Muller2020"
"Treponema pallidum","helical",0.163829887050271,6.75395480859377,0.0247351146781157,0.0376478986123003,31,"Osbak2016"
"Veillonella parvula","sphere",0.0205795262761155,0.502654824574367,0.0153147413634125,0.157029972288287,23,"Muller2020"
"Vibrio angustum",NA,NA,NA,NA,NA,NA,"Lynch2017"
"WWE30OP11-OD1","sphere",0.00376641125364773,0.201150777411898,NA,0.0168567137640837,NA,"Zhao2017"
"Yersinia pestis","rod",0.476622278849783,4.08407044966673,0.0304656200463228,0.0148309639559133,NA,"Wang2012"
